step,depth_cap,energy,energy_bound,depth,gap,runtime,status,is_pareto
0,2.0,107157.97204457721,106116.2532008976,2.0,0.009721337795066363,15.212530851364136,2,True
1,2.858471740890698,106509.68065226634,105450.39014827959,2.858471743266591,0.009945485682612528,7.749108552932739,2,True
2,3.7169434817813958,105691.46627231823,104648.6573640518,3.7169434817814135,0.009866538378601237,8.391023397445679,2,True
3,4.575415222672094,105276.11294057644,104240.77374091417,4.575415222639549,0.009834512034526333,14.128174304962158,2,True
4,5.4338869635627915,104675.1371842632,103635.53706226453,5.433886963526106,0.009931681485820746,16.135756969451904,2,True
5,6.2923587044534885,104353.14985190943,103320.6709725308,6.292358704453477,0.009894084470319496,11.841439247131348,2,True
6,7.150830445344186,104021.60766280064,103037.09034309973,7.150830445282395,0.009464546278618886,14.405174255371094,2,True
7,8.009302186234883,103796.3386575679,102769.42935556504,8.00930218623489,0.009893502172467391,16.537187576293945,2,True
8,8.867773927125583,103585.40660418084,102560.98605048933,8.867773929182249,0.009889622363563081,13.24686574935913,2,True
9,9.72624566801628,103441.99379316955,102450.1021459198,9.726245668016304,0.009588868223412728,12.473504304885864,2,True
10,10.584717408906977,103279.88091220416,102247.30902209975,10.584717408850452,0.009997802872973282,15.43013334274292,2,True
11,11.443189149797675,103172.51582462541,102160.9584559889,11.44318914972439,0.009804523622899753,8.23981761932373,2,True
12,12.301660890688373,103044.33153474201,102015.45870361544,12.301660890435755,0.00998475914009576,9.40413522720337,2,True
13,13.16013263157907,102965.75808983481,101937.89900246581,13.160132631503643,0.009982533090974115,8.287057399749756,2,True
14,14.018604372469769,102866.07115216838,101852.7332828808,14.018604372388154,0.009851040852805274,8.96649718284607,2,True
15,14.877076113360467,102788.44862238162,101761.56350880115,14.877076113217527,0.009990277383726672,10.732638359069824,2,True
16,15.735547854251164,102740.86985827156,101732.23198754934,15.735547854065203,0.009817299309550406,10.179956912994385,2,True
17,16.594019595141862,102724.44997795517,101707.42417888378,16.382395978743034,0.009900523188877065,9.167811870574951,2,True
18,17.45249133603256,102724.44996465943,101699.16963430129,16.382395978743034,0.009980879242584454,9.175267696380615,2,True
19,18.310963076923258,102724.4499417786,101707.50842346261,16.382395978743034,0.009899702737686852,11.810245275497437,2,True
